12:29:42 | Cadastro Worksite | Digitando Url http://172.27.212.107/porto.re.emissaocadastro/index-teste.html#/
12:30:04 | Cadastro Worksite | Digitando os Papeis
12:30:34 | Cadastro Worksite | Erro: Cannot find the UI element corresponding to this selector: <webctrl name='inputPerfis' tag='INPUT' />
12:30:34 | Cadastro Worksite | Falha Acesso Sistema Triade
12:30:34 | Cadastro Worksite | Falha ao iniciar o Robo
12:30:34 | Cadastro Worksite | Inicando o Robo 2º Tentativa
12:30:34 | Cadastro Worksite | Finalizando aplicacao chrome
12:30:35 | Cadastro Worksite | Finalizando aplicacao excel
12:30:35 | Cadastro Worksite | Extraindo dados Config
12:30:35 | Cadastro Worksite | Finalizado extracao dados Config
12:30:35 | Cadastro Worksite | Criando BaseDadosWorksite
12:30:36 | Cadastro Worksite | Finalizado criacao BaseDadosWorksite
12:30:36 | Cadastro Worksite | Acessando Sistema Triade
12:30:37 | Cadastro Worksite | Digitando Url http://172.27.212.107/porto.re.emissaocadastro/index-teste.html#/
12:30:58 | Cadastro Worksite | Digitando os Papeis
12:31:29 | Cadastro Worksite | Erro: Cannot find the UI element corresponding to this selector: <webctrl name='inputPerfis' tag='INPUT' />
12:31:29 | Cadastro Worksite | Falha Acesso Sistema Triade
12:31:29 | Cadastro Worksite | Falha ao iniciar o Robo
12:31:29 | Cadastro Worksite | Inicando o Robo 3º Tentativa
12:31:29 | Cadastro Worksite | Finalizando aplicacao chrome
12:31:29 | Cadastro Worksite | Finalizando aplicacao excel
12:31:29 | Cadastro Worksite | Extraindo dados Config
12:31:29 | Cadastro Worksite | Finalizado extracao dados Config
12:31:29 | Cadastro Worksite | Criando BaseDadosWorksite
12:31:30 | Cadastro Worksite | Finalizado criacao BaseDadosWorksite
12:31:30 | Cadastro Worksite | Acessando Sistema Triade
12:31:31 | Cadastro Worksite | Digitando Url http://172.27.212.107/porto.re.emissaocadastro/index-teste.html#/
12:31:54 | Cadastro Worksite | Digitando os Papeis
12:32:24 | Cadastro Worksite | Erro: Cannot find the UI element corresponding to this selector: <webctrl name='inputPerfis' tag='INPUT' />
12:32:24 | Cadastro Worksite | Falha Acesso Sistema Triade
12:32:24 | Cadastro Worksite | Falha ao iniciar o Robo
12:32:24 | Cadastro Worksite | Enviando email erro
12:32:24 | Cadastro Worksite | Capturando Tela de Erro
12:32:24 | Cadastro Worksite | Captura de tela criado: CapturaTela_29092020_123224.png
12:32:33 | Cadastro Worksite | Email erro enviado
12:32:33 | Cadastro Worksite | Finalizando todas as aplicacoes
12:32:33 | Cadastro Worksite | Finalizando aplicacao chrome
12:32:33 | Cadastro Worksite | Finalizando aplicacao excel
12:32:33 | Cadastro Worksite | Robo Finalizado
